|raw_number|content|negative|neutral|positive|compound
365|#366 (10/29/64)|I was mopping the floor of an auditorium. A little later the patients who worked in the occupational therapy shop came and mopped it again. |0.0|1.0|0.0|0.0
366|#367 (10/29/64)|I was in a house. I was frightened because a stranger was outside. I was expecting my mother to come. |0.132|0.868|0.0|-0.4404
367|#368 (10/30/64)|I looked in my wallet for money to pay for using a swimming pool, but my money was gone. |0.062|0.938|0.0|-0.0516
368|#369 (10/30/64)|I was reading in bed in a hospital dormitory and the attendant told me to stop reading. I moved to a different bed to avoid him. |0.155|0.845|0.0|-0.5267
369|#370 (10/31/64)|I asked a doctor when I would be released from the hospital. He said that I would go to a certain town (I don't recall the name of the town) on a certain day. |0.0|0.884|0.116|0.4939
370|#371 (10/31/64)|I was sitting with a woman on the back of a truck. We were eating something. We decided to drive to a parking area. It was crowded there, and I had to maneuver the truck to get it parked. |0.0|1.0|0.0|0.0
371|#372 (10/31/64)|I was actively and passively intimate with another man. |0.155|0.636|0.209|0.1531
372|#373 (11/01/64)|I had been sleeping in a dormitory. I and the others were moved to a long, narrow room containing new beds. |0.0|1.0|0.0|0.0
373|#374 (11/01/64)|I was hanging wall paper. My mother was helping. The paper's design was made up of streaks that flowed in swirls. |0.0|0.901|0.099|0.296
374|#375 (11/02/64)|I was holding a rod about ten inches long. I had to get it back to where I had taken it before it would be missed. |0.081|0.919|0.0|-0.296
375|#376 (11/03/64)|I was going up a narrow shaft to an upper room. Later I was in a supermarket. |0.0|1.0|0.0|0.0
376|#377 (11/04/64)|I was with my mother and sister. I was looking for a restroom so I could urinate. Later I was getting my books together. |0.0|1.0|0.0|0.0
377|#378 (11/05/64)|I was in an auditorium in a hospital. Patients came from the occupational therapy shop. An employee (I know him in real life. He was working in the shop when I was involved in an attempt to escape.) We avoided each other's glance. (This is what happens in real life since that trouble.) |0.09|0.88|0.03|-0.5267
378|#379 (11/06/64)|I was in a house. I went upstairs. Some boys from the neighborhood were there. Later I heard a story about a man who went in the enemies' part of the city. |0.094|0.906|0.0|-0.4939
379|#380 (11/07/64)|I was in a room with the floor painted like a basketball court. |0.0|0.828|0.172|0.3612
380|#381 (11/08/64)|I was confined in a strange institution. I saw a gate. I was not allowed outside, but no one was there, so I went out the gate. It was evening, and the streets were dark. There were small houses, and small stores. Dogs were barking, and I speculated that the home owners had watch dogs because of the institution being so close. I saw the headlights of a car behind me, and I was afraid it was someone from the institution looking for me. But it passed by me. I kept walking. The wall of the institution was on my left. The homes were on my right. |0.038|0.962|0.0|-0.4939
381|#382 (11/09/64)|I was going somewhere to study to be a priest. I was frightened at the thought of the studies necessary for Ordination, and I was undecided whether or not to go ahead with them. |0.13|0.87|0.0|-0.5859
382|#383 (11/09/64)|I was lying on my stomach on a large double bed. Another man was in the bed. A patient on my ward in real life came and asked me if I would like him to massage my legs. (This patient has confided to various patients that he had obtained money as a male prostitute before he was confined. He is young and good-looking. He has been here a few months.) I allowed him to massage my legs, and while he was doing it, I had an emission, though I tried o repress it. After he left, I felt the semen, and it felt like ear wax. |0.051|0.904|0.044|-0.2023
383|#384 (11/09/64)|I was in a printing shop with two patients on my ward. I was working under a press, but it kept closing. One of the patients (Farell), helped me prop the flywheel so that the press could not close. |0.0|1.0|0.0|0.0
384|#385 (11/10/64)|I was in a strange building. A girl about 8 was there and I greeted her. A few moments later she smiled and hugged me from behind around the waist. We were by a wall. I suggested that we go where there weren't so many people around. We went to a secluded part of the building. |0.029|0.837|0.134|0.7579
385|#386 (11/10/64)|I was going to report for work in a printing plant. I had to climb three flights of stairs. Someone told me I was late and I'd better hurry. When I came to where the 2nd flight should have been, there was only a baluster there. It was quite tall. Where the underside of the next flight of stairs should be, there was only another stairway going back down. I was bewildered. I wandered in a daze until I came to an elevator and boarded it to try to get to the third floor. When I left the elevator, I stepped into a modern office. I felt awkward at first. I decided to pretend that I knew my way around. |0.038|0.939|0.023|0.0516
386|#387 (11/11/64)|I was at a meeting and I proposed something. I gave advice to someone. |0.0|1.0|0.0|0.0
387|#388 (11/12/64)|"There was a high wall, and a cavern caused by erosion under the ground. The wall was part of a building, and it was very thick. I stared at the cavern. A patient on the ward appeared and said, ""How would you like it if that happened to your house?"" "|0.0|0.951|0.049|0.3612
388|#389 (11/13/64)|I was revisiting my hometown with my mother and sister after being away for a long time. A new building was being erected with strange silver windows that were transparent when viewed from indoors. There was a new store across the street where the old one used to be. My mother went there to look at something. |0.031|0.969|0.0|-0.2023
389|#390 (11/14/64)|I was walking city streets. A little child was there. |0.0|1.0|0.0|0.0
390|#391 (11/15/64)|Someone had damaged a man's crops, and he was sending troops to find them. |0.182|0.818|0.0|-0.4404
391|#392 (11/16/64)|I was taking a bath in a public place where people were walking around, but I was not embarrassed. |0.0|0.871|0.129|0.395
392|#393 (11/17/64)|A colored man was following me. He had a tube about 6 inches long hanging from one of his nipples. A little later it was attached to his sex organ. I was very annoyed. |0.081|0.919|0.0|-0.4391
393|#394 (11/18/64)|I was talking with a man whom I at first mistook for a doctor, but later saw was a judge. He was trying my case. I told him I was sorry about committing the offense. |0.106|0.856|0.039|-0.3612
394|#395 (11/19/64)|I was catching a bus with my mother. We had suitcases. I had to put overshoes on so we could walk after we left the bus. |0.0|1.0|0.0|0.0
395|#396 (11/20/64)|I was being examined by a patient. I was clad in my underwear. He gave me a low rating, and I complained. He said my organ had been showing through my shorts. I apologized, and he raised my score from 2/3 to 3/2. |0.102|0.849|0.049|-0.3612
396|#397 (11/20/64)|I was a patient in a hospital. I was just placed on the ward. The others left for the dining room, and I did not see them go. I did not know how to get there. I went on the porch. I was surprised to see female patients there. I spoke to one of them, and we went on the grounds. A little later I became worried that I would be missed. I was tempted not to go back at all. I was torn by indecision. |0.09|0.889|0.021|-0.6486
397|#398 (11/21/64)|I was in a large expensive house. In a little while I was a man leaning on a cane and showing off. The cane had a monogram reading FDR. I commented that he was not using his own cane. He admitted it. The patient resembled a patient on the ward named Sopern. (This patient was of inferior intelligence and was very basic, that is, unsophisticated. He said that he had been arrested because while he was bedding with a prostitute, her 10-year-old daughter had asked him to play with her sexually and he had done so. He was accused of molesting the child.) |0.121|0.82|0.06|-0.7964
398|#399 (11/22/64)|I was using plastic pencils and rulers. Later I was watching others play ball in a gym. then I began making Christmas decorations. |0.0|0.902|0.098|0.34
399|#400 (11/23/64)|I was operating a printing press. The motor fell into a deep hole. Later I gathered some printed words and gave them to a man who resembled a patient named Mantley. |0.0|1.0|0.0|0.0
400|#401 (11/24/64)|My ward doctor appeared in this dream and told me I was going to court next week. |0.0|0.877|0.123|0.3071
401|#402 (11/24/64)|I went through the exit of the hospital in which I was confined. On the way back I met a young woman, and we played cards. Later another young lady spoke friendly to me, but I had to get back to the hospital, so I left. |0.0|0.921|0.079|0.4215
402|#403 (11/25/64)|I was in a room with my sister. There was a new refrigerator in the room. Looking out the window, I saw a great amount of smoke pouring from the smokestack belonging to a school building. I warned someone that there must be a fire there. Later my clothes were being moved. I noticed that my towel was sewed onto a laundry bag, and I complained to a man who resembled a patient on the ward named Gonzolez. |0.084|0.868|0.048|-0.2732
403|#404 (11/26/64)|I was in a hospital. Men began hammering out the windows. I thought about reporting them, but then I learned they were repairmen. |0.0|1.0|0.0|0.0
404|#405 (11/27/64)|I was thinking of bathing in a pool. I saw an elephant and a lion swimming in the pool. |0.0|1.0|0.0|0.0
405|#406 (11/27/64)|"I was the son of a knight. Suddenly about ten ornamental balls topped with birds fell from the balcony I was on. A woman came and said that because of that accident, my father would lose his knighthood. I was angry. I said, ""Woman, I will see that you don't take away his knighthood. I have something to say about that."" "|0.136|0.864|0.0|-0.8442
406|#407 (11/28/64)|I was riding a roller coaster. Later I was getting a remedy for an ailment. |0.0|1.0|0.0|0.0
407|#408 (11/29/64)|I was working in a printing plant. New employees were there. |0.0|1.0|0.0|0.0
408|#409 (11/29/64)|I was with my sister. People were dancing on a floor a few steps above us. I noticed a slit in one of the ladies' dresses. Part of her hips were exposed. I was not allowed to dance. I told my sister I was going for a swim in the pool. |0.025|0.975|0.0|-0.0772
409|#410 (11/30/64)|I was lying on my back on a bed. A woman came and pressed her belly against mine. Her menstruating blood spilled on me. (When I awoke, I reflected that when I recall more than one dream, the last one is the only one that is ever sexual in nature. I recalled that before this dream about the woman, I had a dream, but I did not recall its content except that I knew it was not a sexual dream. It was something about my taking a place at a meeting.) |0.045|0.905|0.05|-0.1414
410|#411 (12/01/64)|I made a decision about something. |0.0|1.0|0.0|0.0
411|#412 (12/01/64)|I was seated in an auditorium. I changed seats with a patient on the ward named Farell. Without saying anything, he touched my chest, then hugged me from behind. Later I had a kite. The string fell into shreds when I tried to unravel it. I looked for some string, and found a box full of string that was used to tie printing forms. It was on a paper cutter. |0.0|0.962|0.038|0.4019
412|#413 (12/02/64)|I was in the army on a pass. There had been an order for everyone to return at 8 o'clock instead of the usual 9 o'clock. I forgot about the order, and some MP's approached me and were going to arrest me, but then the order was cancelled. |0.084|0.916|0.0|-0.4939
413|#414 (12/03/64)|I was in a department store. A chair was displayed. I saw that it was vibrating. When I touched it, the floor began to vibrate too. Then I touched some lit Christmas tree lights and they went out. |0.0|1.0|0.0|0.0
414|#415 (12/04/64)|A little girl was admiring my strength. A woman was nearby. She was stiff like a dummy, but she talked. The girl asked me to lie on a nearby bed with her. I lay with her, resting my head on her crotch. |0.0|0.876|0.124|0.5451
415|#416 (12/04/64)|I was in bed and my sister's empty bed was there. Chains fell on her bed. I fastened them back to the ceiling. I said to someone that there must be mice there. |0.053|0.947|0.0|-0.2023
416|#417 (12/04/64)|A man was chasing a woman across a stoop. He pushed a button in his head and fired bullets from his skull at the woman. The bullets came out in shreds and sprayed onto the woman's hair. |0.091|0.909|0.0|-0.5574
417|#418 (12/05/64)|I was walking in the air. A patient on the ward named Mantley was looking on. Later I was walking high above the streets. |0.0|1.0|0.0|0.0
418|#419 (12/05/64)|I was winning at a game of words, then I began to lose. |0.158|0.643|0.199|0.1779
419|#420 (12/05/64)|"I was on a mission with some others. I explained something and then I added, ""This is the theme of our exodus."" "|0.0|1.0|0.0|0.0
420|#421 (12/06/64)|"I was on a hospital grounds. I asked a man if the building ahead was ward ""F."" He said no. I went on to the other buildings. "|0.0|1.0|0.0|0.0
421|#422 (12/07/64)|I was wearing a mask and playing a part. Later I was looking around in a building and a woman told me to get out. I urinated on a bed where a woman was lying nearby. She complained and I finished in a pan. A little later some men came and smelled the urine. They commented about it. |0.097|0.874|0.029|-0.6486
422|#423 (12/08/64)|I began working in a printing shop. Another man was there. We argued about something. |0.152|0.848|0.0|-0.3612
423|#424 (12/08/64)|There were three girls of various ages. The youngest was about 6. I tickled her left ear, and she liked it. Later I found some powder, and used it on my body. A man came and said the owner would be angry at me. |0.069|0.873|0.058|-0.128
424|#425 (12/09/64)|I was in a yard. A rainstorm came. Later I was in an alley and I saw some little girls. |0.0|1.0|0.0|0.0
425|#426 (12/10/64)|I was packing my jewelry into a box. Later I was cleaning the floor of a toilet with a patient named McCoy. There was feces on the floor. |0.0|1.0|0.0|0.0
426|#427 (12/11/64)|I was lying on a bed in a room with several other beds. A woman was in the next bed. |0.152|0.848|0.0|-0.5267
427|#428 (12/12/64)|A patient named Mantley was talking in a doorway with an officer named Mr. Greene. (Both are on my ward.) My mother was wearing a bandage. |0.0|1.0|0.0|0.0
428|#429 (12/13/64)|I bought and planted a hydrangea in the garden. There were others there, but they were browning. There were also evergreens. |0.0|1.0|0.0|0.0
429|#430 (12/14/64)|I was in a strange church that had a circular altar rail. People were lined up for confession. |0.096|0.904|0.0|-0.2023
430|#431 (12/15/64)|A tame lion was in a nearby building. A woman was hugging the lion. |0.0|0.823|0.177|0.4215
431|#432 (12/16/64)|I was working at a new job. A man resembling the patient named Sophern was asleep nearby. |0.0|1.0|0.0|0.0
432|#433 (12/16/64)|I was on my way to see a doctor. I was changing my trousers. The doctor saw me undressing and I was embarrassed. |0.102|0.898|0.0|-0.3612
433|#434 (12/16/64)|I was riding in a cable car with my sister. It was crowded. We passed a car going in the opposite direction, and I saw a woman who resembled a woman I dated in 1959 named Judy Zimmer. |0.0|1.0|0.0|0.0
434|#435 (12/17/64)|There was a dream about some plants. Then I was in a hospital and I severed my penis. I wanted to attach it again, so I held it against the stump. Later there was confusion among the patients and an officer was flustered by the confusion. |0.171|0.79|0.039|-0.7096
435|#436 (12/18/64)|I was in a building with high walls around it. I had lost something, and a youth about 15 said he would find it for me. He returned shortly with a bundle of pipes. I was worried that maybe he was doing something he shouldn't. |0.095|0.905|0.0|-0.5423
436|#437 (12/18/64)|I was walking on a road. I decided to wander into a valley. Two women on the road were angry because I left the road. Someone was criticizing a writer. Though his theme was all right, his style was bad. |0.201|0.799|0.0|-0.8519
437|#438 (12/18/64)|I was married to a woman in a church. We went home after the ceremony. The woman resembled my sister. We lay on the bed. We tried to have intercourse, but at first my organ did not enter, and it protruded from between her legs in the back. |0.0|1.0|0.0|0.0
438|#439 (12/19/64)|I was on the grounds of a hospital. Someone told me I'd better not leave the grounds. I thought it strange that I couldn't leave the grounds. |0.06|0.767|0.173|0.3391
439|#440 (12/20/64)|I was in a house with my mother and sister. My mother left on a trip. The woman who lived downstairs tried to persuade me to let her use our rooms, but I would not yield. |0.0|1.0|0.0|0.0
440|#441 (12/21/64)|I was attending Mass in a strange church. |0.205|0.795|0.0|-0.2023
441|#442 (12/22/64)|I was staying with another man who was a friend. He had been planning to write something for the public. The police came to arrest him. They said that now he wouldn't be able to write those things. I told them that I can write too. |0.048|0.887|0.065|0.2023
442|#443 (12/23/64)|I was waxing the floor in a strange narrow room. The wax was extremely thick. |0.114|0.886|0.0|-0.2023
443|#444 (12/24/64)|I was on the porch in a hospital ward. I had a jack knife. It fell out of my hand onto the porch below. (I was on the 3rd floor.) I heard someone gasp down there, and I was afraid the knife had hurt someone. |0.069|0.867|0.065|-0.0516
444|#445 (12/25/64)|I was working at a printing plant. I was afraid the police were coming to arrest me. |0.13|0.87|0.0|-0.34
445|#446 (12/26/64)|I was on my way to start working at a printing plant. The bus left before I could get to the bus stop. I walked down a strange road. There were small stores there, and a curved street. I urinated, and after the urine flowed out, a liquid that resembled snot flowed out. |0.033|0.967|0.0|-0.2023
446|#447 (12/27/64)|A young boy was visiting me. Later I made a top for a little girl and gave it to her. She hugged me around the waist. I was jittery because some policemen were watching us. |0.0|0.88|0.12|0.5423
447|#448 (12/28/64)|Someone was speaking. I was annoyed because he was using ambiguous terms and otherwise contradicting himself. |0.259|0.741|0.0|-0.5994
448|#449 (12/30/64)|I was writing essays with other men. I was better because I had the most experience. |0.0|0.838|0.162|0.4404
449|#450 (01/01/65)|I saw some animals. Later there was a crippled child. Then a crippled woman about 25 came and begged me to cure. She left right away and came back shortly and said she had been cured by a miracle. |0.0|0.909|0.091|0.5859
450|#451 (01/02/65)|I was counting money. A woman nearby tried to stab someone with a hypodermic needle. She was doing it because she was jealous. |0.245|0.755|0.0|-0.7783
451|#452 (01/03/65)|There was a woman walking through a narrow hall. Suddenly the roof fell on her. |0.0|1.0|0.0|0.0
452|#453 (01/04/65)|I wandered off the hospital grounds. Some nuns were standing in front of a store. I boarded a bus. It was the wrong bus. |0.119|0.881|0.0|-0.4767
453|#454 (01/05/65)|I was placing the patients on the ward in categories on a sheet of paper. |0.0|1.0|0.0|0.0
454|#455 (01/06/65)|I was standing very close to a beautiful Spanish woman who was throwing knives at a target. |0.0|0.804|0.196|0.5994
455|#456 (01/07/65)|I was near a damaged wall. I looked through the opening and saw an old passageway behind the wall. |0.139|0.861|0.0|-0.4404
456|#457 (01/07/65)|"I said to another patient, ""Why do you talk to the simple-minded ones?"" "|0.0|1.0|0.0|0.0
457|#458 (01/07/65)|I was confined in a strange hospital. I was carrying a soft towel and I was looking for my ward. I heard someone laughing in the yard. |0.06|0.833|0.107|0.34
458|#459 (01/08/65)|I was in a strange house with my mother and sister. There was a flood outside. A boat sank in the water about 200 feet in front of the house. A little later a sewer in front of the house backed up and flooded the house. I reached from the door with a large plunger and plunged it down. |0.03|0.929|0.041|-0.0772
459|#460 (01/08/65)|My sister and I planned a trip, but the weather was bad, so I went alone. I went to the observation platform atop the Empire State Building. It was so foggy that I couldn't see anything. |0.184|0.816|0.0|-0.8246
460|#461 (01/08/65)|I was in the army. I was seated with other men when I suddenly remembered leaving a book in the latrine, and I hurried to get it. later I was sitting and waiting for some reason in a room with other men. There were tables for writing. |0.0|1.0|0.0|0.0
461|#462 (01/09/65)|A wife was nagging at her husband. |0.31|0.69|0.0|-0.4019
462|#463 (01/10/65)|I was using cans of green paint. I had left a wall oven on with the door ajar, and it suddenly caught fire. I called my mother and she turned it off, and the fire went out. |0.121|0.879|0.0|-0.5859
463|#464 (01/11/65)|I was aboard a large liner. The rooms were like hospital rooms. The doors also were like hospital doors. The ship suddenly began to sway. |0.0|0.783|0.217|0.6249
464|#465 (01/12/65)|There was an office building. Part of it was being razed to make way for a new structure. In another part there were office workers working in offices with the walls partly torn down. Later something was being loaded into a truck. |0.04|0.96|0.0|-0.1796
465|#466 (01/12/65)|I seem to be extra tall and thin, and another man nearby wearing a suit was also very tall and thin. |0.0|1.0|0.0|0.0
466|#467 (01/13/65)|I was holding a boy about 8 in my arms. The father came and I handed the boy to him. |0.0|1.0|0.0|0.0
467|#468 (01/14/65)|I was a patient in a hospital. Through the window I saw an opening in the fence surrounding the grounds, and I decided to leave the hospital that way. |0.041|0.959|0.0|-0.0516
468|#469 (01/15/65)|I met a girl about 8 years old. She seemed distressed. She explained that her uncle was planning to ask her a number of personal questions about herself and her brother. I held her close to me and tried to soothe her anxiety. I felt a sincere and pure compassion toward her. I was sad because I did not see a way to save her from her uncle. She seemed to like me, and she was attractive, but I saw her only as a companion. There was no romantic attachment. After she left, I saw another girl alone, but I did not approach her. Later I was walking across some hills carrying two bags of marbles. I came to a cliff. It was about 25 feet high, so I could not jump down. A ladder was slightly above my reach. I perceived that if I managed to reach it, it would be too slanty when I lowered it. I tried anyway, and as I did so, one of the bags of marbles fell and the marbles rolled into a sewer. I threw the other bag of marbles into a corner where two walls came together, and they did not roll into the sewer. I was surprised when the ladder was not slanty when I moved it down as I had expected. I was able to descend. |0.066|0.867|0.067|-0.2417
469|#470 (01/16/65)|I greeted a lady at a church. She was light complected, about 25, and healthy-looking. Then I knelt in a pew next to another lady about the same age. She was slimmer. She was on my left. I do not recall her saying anything to me, but I felt her grasp my left hand and press the back of her hand against my belly as it held mine. Then she suddenly became faint and fell into my arms. I lay her unconscious body on the pew and looked around for aid. I saw my mother a few pews behind. She had seen it happen, and was going for aid. I was surprised that she was there. |0.0|0.9|0.1|0.91
470|#471 (01/16/65)|An officer on my ward asked me if I wanted to sleep in a room instead of the dormitory. |0.0|1.0|0.0|0.0
471|#472 (01/19/65)|I was in New York City. I was looking for a certain building. The buildings were not on level ground. As I rounded a curve, I could see about a mile of buildings. I recognized the area I was looking for. |0.0|0.95|0.05|0.2732
472|#473 (01/22/65)|A man showed me a body of water where the current was so swift that it tossed people's boats against a muddy cliff where they sank in the mud. The water ran into the sea a short distance away. |0.0|0.941|0.059|0.3327
473|#474 (01/23/65)|A patient was helping me do a job. I was afraid he was doing something he shouldn't do. |0.0|0.885|0.115|0.296
474|#475 (01/23/65)|I saw a hidden building behind a wall. Later I seemed to be in that building, and it was like a department store. A dog on a balcony grabbed something and jumped into a lake below. |0.0|0.933|0.067|0.3612
475|#476 (01/24/65)|A woman was trapped in a ditch. |0.362|0.638|0.0|-0.5267
476|#477 (01/24/65)|A man went on a trip. After he left, I regretted that I did not ask to go with him. |0.12|0.88|0.0|-0.3818
477|#478 (01/24/65)|There was a printing plant. Then I had a tractor with a lawn mover attached. The mower was cracked, and I tried to mend it. |0.0|1.0|0.0|0.0
478|#479 (01/25/65)|An attractive woman about 25 tickled me on the ears, then the cheeks, and then the lips. |0.0|0.847|0.153|0.4404
479|#480 (01/26/65)|I was in a clothing store. I started to leave, but remembered my overcoat. I took the coat and went outside. |0.052|0.948|0.0|-0.0258
480|#481 (01/27/65)|I went into a restroom. There were men and women in there. A new ruling had been made allowing both men and women to use it. A woman who resembled the one who fainted in a recent dream tried to urinate in one of the men's urinals. I told her she would be better off using one of the commodes in the rear. I walked with her. I was attracted to her. A little later an experiment was taking place. The woman with whom I had spoken was told to be seated on a chair with a hole in the center of the seat. As she defecated, the feces was taken away and used for making children. The feces was round, light brown in the center, and the outer part was dark brown. |0.0|0.944|0.056|0.7717
481|#482 (01/28/65)|I was sleeping in a dormitory with double decked beds. I changed to a different bed because I thought it was better. |0.0|0.879|0.121|0.4404
482|#483 (01/28/65)|I was with my mother. A woman had an auto accident with her husband. Later the same woman had another auto accident. |0.237|0.763|0.0|-0.7351
483|#484 (01/29/65)|A woman was sitting down. I and the others with me wondered what to do with her. |0.0|1.0|0.0|0.0
484|#485 (01/30/65)|I was lying on a bed. A child was asleep nearby. Someone came and frightened the child. Then a woman about 20, wearing a nightgown, sat on my bed with her legs apart. She said that she felt afraid because a man had looked up her nightgown. |0.123|0.877|0.0|-0.743
485|#486 (01/30/65)|I was confined in an institution. I came to an open door that led outside the wall, but there was a man on the wall with a machine gun. |0.1|0.9|0.0|-0.4767
486|#487 (01/31/65)|I was in a bedroom and a woman was taking a bath in a portable tub. I pulled down the window shade so the next door neighbors could not see her. |0.0|1.0|0.0|0.0
487|#488 (01/31/65)|"I was confined in an institution. I came to an opening that led outside. I was able to crawl through as far as my waist. I said aloud to myself, ""If only I could be free!"" "|0.0|0.907|0.093|0.5562
488|#489 (02/01/65)|I tried to swim in a pool with water 3 feet deep, but it was too shallow. A woman dressed like a nurse arose from a chair, spreading her legs as she arose. She said that if I paid admission, I could use the large pool on the other side of the glass wall. I paid her, but when I came to the pool, I found that it was covered with a granite floor. Later I was in a place with high walls and stained glass windows. |0.0|0.964|0.036|0.5023
489|#490 (02/01/65)|I was in a bed, and a patient was in one of the beds in a different part of the dormitory. |0.0|1.0|0.0|0.0
490|#491 (02/02/65)|I was on the roof of an apartment building. Some kind of liquid was bubbling on other roofs. When the roof I was on began to bubble, I climbed into an apartment through a window. I stood there wondering what caused the bubbling, and what I could do about it. |0.0|1.0|0.0|0.0
491|#492 (02/03/65)|There were frame structures held together by bolts. One of the sections came loose and caused the others to lean. I told a man who was with me that the bolts have to be tightened. Later I wanted to oil a printing press. A man was sitting on the press. He said to pour the oil into his mouth through a funnel. I did so, and he became ill. |0.071|0.914|0.015|-0.6124
492|#493 (02/03/65)|I was walking with a parole officer. I passed a little girl and patted her on her buttocks. She became upset, and the officer was annoyed at me. |0.167|0.833|0.0|-0.6369
493|#494 (02/05/65)|I was in a house. A washing machine in the next room was vibrating so violently that it was shaking the whole house. |0.238|0.762|0.0|-0.7626
494|#495 (02/06/65)|I was in a store. Several men were there whom I recognized as former employers in printing plants where I have worked. I was surprised to see them. |0.0|0.934|0.066|0.2263
495|#496 (02/07/65)|I was with my sister. I found some Christmas cards, and sent them for her. I had to go someplace. She stayed there. |0.0|1.0|0.0|0.0
496|#497 (02/08/65)|A woman about 20 was acting in a play. The first time she was being chased in an auto. When she acted in the play again, that part was deleted. I heard others commenting about the change. An officer named Darrow was inside a room. |0.0|0.9|0.1|0.5859
497|#498 (02/09/65)|I was with my mother. She took a box and said she wanted to make a swing with it. A lady came out of the store, and I said maybe we'd better ask her if we could have the box. Just then she recalled that she had left a stick of butter in the store. She said she would give me a reward if I found it. I went into the store and saw a stick of butter on a counter with other items. |0.0|0.926|0.074|0.765
498|#499 (02/10/65)|A mouse came out of a hole in a wall. A little kitten followed it. I wondered why it did not chase the mouse. |0.0|1.0|0.0|0.0
499|#500 (02/11/65)|I was home from the hospital. I begged a lawman to let me stay free. I said that I would avoid children altogether. Later I had a vehicle. A man suggested I go on a tour, but I told him I didn't have enough money. I thanked him for the suggestion. |0.029|0.863|0.108|0.6597
500|#501 (02/12/65)|"Female patients were going to confession. A woman was shouting. Another woman said, ""She's fundaMENTAL!"" "|0.0|1.0|0.0|0.0
501|#502 (02/13/65)|Something was wrong with a printing press I was operating. |0.256|0.744|0.0|-0.4767
502|#503 (02/14/65)|I was floating in the air about ten feet above the streets. I passed some women. |0.0|1.0|0.0|0.0
503|#504 (02/15/65)|I was with some other people trying to compose a piece of literature. |0.0|1.0|0.0|0.0
504|#505 (02/16/65)|A French woman was dancing. A patient on the ward named Jain appeared. (This patient is a Hindu from India.) |0.0|1.0|0.0|0.0
505|#506 (02/17/65)|I was in a bed next to a patient named Young. He asked me to put my foot between his thighs, and I did so. Later some veteran patients were leaving the day room to go on a trip. I had intended to join them, but by the time I dressed, they had left. I was angry at myself for being so sluggish. I became determined to do something about that lethargy. |0.146|0.798|0.056|-0.862
506|#507 (02/18/65)|I was lying in a bed in a dormitory. A patient in the next bed (a patient on the ward named Farell) exchanged beds with another patient so that the latter could stimulate my sex organ. Later I was undressing to go swimming. A woman across the room was watching me. Her body began to appear distorted. |0.098|0.871|0.031|-0.6369
507|#508 (02/21/65)|I was in an auditorium with other male patients. A patient named Farell and a patient named Sophern began to fight with their fists. Shortly after that we all changed seats. |0.08|0.92|0.0|-0.3818
508|#509 (02/24/65)|I was in a hallway between two hospital wards. Patients were being transferred. A doctor who knew me passed by, accompanied by a strange doctor. I was embarrassed because I was undressed. Later I sat at a table with food in front of me. Three kinds of food were there. I saw them as eggs, ideologies, and potatoes. (When I awoke I wondered why I had seen the second food as ideologies.) |0.058|0.942|0.0|-0.5106
509|#510 (02/26/65)|I was in a house with concrete walls. I was very emotionally disturbed during the dream. I accidentally toppled over what appeared to be a plastic bust of a woman, and I stooped down to pick it up. I found that it was not plastic, but alcohol. |0.074|0.895|0.031|-0.2822
510|#511 (03/01/65)|I was working with others on a plan. I suggested what I thought would be the best method. |0.0|0.802|0.198|0.6369
511|#512 (03/02/65)|There was a tall square house about 50 by 80 feet. Hot water running under the house was causing steam to fill the rooms. Someone said they were going to dry up the steam. I went inside to see how it looked in there. Someone else was there. |0.0|1.0|0.0|0.0
512|#513 (03/03/65)|I was in a building where a wooden floor was being repaired. One floor in another room acted strangely. It would tip down and then raise into an odd position. |0.138|0.862|0.0|-0.5423
513|#514 (03/04/65)|I was on a pass from an institution. As I walked down some stairs, the thought occurred to me that since it was wrong for me to get pleasure from seducing children, why was it all right for chess players to get intellectual pleasure from playing chess? Both seem to be a waste of organic as well as mental energy. I recalled C. G. Jung, who said mental illness is caused by the failure of the mental energy, or libido, to meet a certain situation. I reasoned further that this energy could not cope because it was too weak. And for that reason, it should not be weakened by seducing children or playing chess, but should be conserved so that it will be able to meet certain situations. |0.069|0.779|0.152|0.7762
514|#515 (03/05/65)|I was standing in line to take a steam bath in a cabinet. I was the only man there. The rest were women. My sister was the last in line. Two women came out clad only in panties. I wished they had been nude so I could see their organs. I began to undress. |0.0|1.0|0.0|0.0
515|#516 (03/06/65)|There was a street with pock marks. Later I saw that it was paved with white blocks. |0.106|0.894|0.0|-0.2263
516|#517 (03/07/65)|I was shopping with my mother. I left her and came to a narrow street. There was a lady in a hole about 4 feet below the sidewalk. I jumped down there. Women were doing erotic dances. Men were there too. They invited me to stay, but I left. Later I was in a store with a lunch counter. (When I awoke, I did not at first recall the dream. I only recalled two squares above a straight line. When later I recalled the dream, I guessed that the two squares represented the room with the dancers and the store, and the straight line represented the street at the start of the dream.) |0.0|0.899|0.101|0.8807
517|#518 (03/08/65)|I was on a street. There was a national crisis. A truck was on a government mission. Something was being said over the loud speaker above the truck. The speaker was saying something about an emergency. I came to a highway. |0.147|0.853|0.0|-0.7717
518|#519 (03/09/65)|I was doing some paper work. |0.0|1.0|0.0|0.0
519|#520 (03/10/65)|I was in a hospital. |0.0|1.0|0.0|0.0
